ID,Title,Content,Excerpt,Date,"Post Type",Permalink,"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Attachment URL",Categories,Tags,Status,Author,Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date"
1173,"Refresh-Mint Diffuser Blend","<img class=""alignnone  wp-image-1174"" src=""http://theoilydoc.com/wp-content/uploads/2016/09/13934768_10154457842199314_7667838808434068735_n.jpg"" alt=""13934768_10154457842199314_7667838808434068735_n"" width=""275"" height=""275"" />",,20160901,post,http://theoilydoc.com/refresh-mint-diffuser-blend/,http://theoilydoc.com/wp-content/uploads/2016/09/13934768_10154457842199314_7667838808434068735_n.jpg,13934768_10154457842199314_7667838808434068735_n,,,,,Recipes>Aromatic,,publish,2,refresh-mint-diffuser-blend,,,0,0,0,open,open,20160904
1175,"Take-A-Hike Diffuser Blend","<img class=""alignnone  wp-image-1176"" src=""http://theoilydoc.com/wp-content/uploads/2016/09/13680994_10154357208444314_6703871518125012338_n.jpg"" alt=""13680994_10154357208444314_6703871518125012338_n"" width=""250"" height=""250"" />",,20160901,post,http://theoilydoc.com/take-a-hike-diffuser-blend/,http://theoilydoc.com/wp-content/uploads/2016/09/13680994_10154357208444314_6703871518125012338_n.jpg,13680994_10154357208444314_6703871518125012338_n,,,,,Recipes>Aromatic,,publish,2,take-a-hike-diffuser-blend,,,0,0,0,open,open,20160901
1178,"doTERRA Nutritional Supplements","&nbsp;

[embed]https://youtu.be/9SClEV5sn08[/embed]

&nbsp;
<h1><a href=""http://theoilydoc.com/wp-content/uploads/2016/09/LLV-DNP-and-Supplements.key"">LLV, DNP and Supplements Powerpoint</a></h1>","Thank you to Jessica Beaver for providing this invaluable information! ",20160901,post,http://theoilydoc.com/doterra-nutritional-supplements/,http://theoilydoc.com/wp-content/uploads/2016/09/jessica.png,jessica,,,,http://theoilydoc.com/wp-content/uploads/2016/09/LLV-DNP-and-Supplements.key,"Science Of|Topics &amp; Classes",,publish,2,doterra-nutritional-supplements,,,0,0,0,open,open,20160903
1183,"After Sun Spray","<img class=""alignnone size-medium wp-image-1185"" src=""http://theoilydoc.com/wp-content/uploads/2016/09/aftersun-296x300.png"" alt=""aftersun"" width=""296"" height=""300"" />",,20160901,post,http://theoilydoc.com/after-sun-spray/,http://theoilydoc.com/wp-content/uploads/2016/09/aftersun.png|http://theoilydoc.com/wp-content/uploads/2016/09/1414f8ad478b470bf5b6132700141cab.jpg,aftersun|1414f8ad478b470bf5b6132700141cab,|,|,|,,Recipes>Topical,,publish,2,after-sun-spray,,,0,0,0,open,open,20160901
1186,"Powerpoint- LLV/Supplements","<a href=""http://theoilydoc.com/wp-content/uploads/2016/09/LLV-DNP-and-Supplements.key"">LLV, DNP and Supplements Powerpoint</a>",,20160901,post,http://theoilydoc.com/powerpoint-llvsupplements/,http://theoilydoc.com/wp-content/uploads/2016/09/benefitsofdoterralifelongvitalitypack.jpg,benefits+of+doterra+lifelong+vitality+pack,,,,,"Files|Topics &amp; Classes",,publish,2,powerpoint-llvsupplements,,,0,0,0,open,open,20160903
1188,"Adrenal Fatigue","Recovering from Adrenal Fatigue is an important aspect of overall health and healing. The following pages will help you navigate through the, sometimes overwhelming, land of recovery from Adrenal Fatigue.

&nbsp;

<a href=""http://theoilydoc.com/wp-content/uploads/2016/09/Adrenal-Fatigue-Page-1-2016.pdf"">Adrenal Fatigue Page 1 - 2016</a> <a href=""http://theoilydoc.com/wp-content/uploads/2016/09/Adrenal-Fatigue-page-2-2016.pdf"">Adrenal Fatigue page 2 - 2016</a>","Thank you to Kay Sharp for this invaluable information about Adrenal Fatigue.",20160901,post,http://theoilydoc.com/adrenal-fatigue/,http://theoilydoc.com/wp-content/uploads/2016/09/kay.png,kay,,,,http://theoilydoc.com/wp-content/uploads/2016/09/Adrenal-Fatigue-page-2-2016.pdf|http://theoilydoc.com/wp-content/uploads/2016/09/Adrenal-Fatigue-Page-1-2016.pdf,"Files|Science Of|Topics &amp; Classes",,publish,2,adrenal-fatigue,,,0,0,0,open,open,20160903
1192,"Essential Oils and Pets","<h1><a href=""http://theoilydoc.com/wp-content/uploads/2016/09/Essential-Oils-and-Animals.pptx"">Essential Oils and Animals Powerpoint</a></h1>
&nbsp;

&nbsp;","Learn how to safely and effectively use essential oils on your four legged friends! ",20160901,post,http://theoilydoc.com/essential-oils-and-pets/,http://theoilydoc.com/wp-content/uploads/2016/09/eo-animals.png,"eo animals",,,,http://theoilydoc.com/wp-content/uploads/2016/09/Essential-Oils-and-Animals.pptx,Files,,publish,2,essential-oils-and-pets,,,0,0,0,open,open,20160901
1200,"Children and Oils","<h1><a href=""http://theoilydoc.com/wp-content/uploads/2016/09/children-and-oils.pptx"">children and oils powerpoint</a></h1>
[embed]https://youtu.be/CHHGHCN84SQ[/embed]","How to safely and effectively use oils on infants and children.",20160903,post,http://theoilydoc.com/1200-2/,http://theoilydoc.com/wp-content/uploads/2016/09/eo-for-kids.png,"eo for kids",,,,http://theoilydoc.com/wp-content/uploads/2016/09/children-and-oils.pptx,"Topics &amp; Classes",,publish,2,1200-2,,,0,0,0,open,open,20160903
1203,Placements,[embed]https://youtu.be/WpTJ4JAJKlU[/embed],"Learn some important tips about placements, from our Diamond upline, Crystal Garvin",20160903,post,http://theoilydoc.com/placements/,http://theoilydoc.com/wp-content/uploads/2016/09/crystal.png,crystal,,,,,"Business Training",,publish,2,placements,,,0,0,0,open,open,20160903
1205,"Oil Properties Wheel","<img class=""alignnone wp-image-1208"" src=""http://theoilydoc.com/wp-content/uploads/2016/09/1x1-300x300-oil-properties-wheel-doterra-science-us-english-web-300x300.jpg"" alt=""1x1-300x300-oil-properties-wheel-doterra-science-us-english-web"" width=""541"" height=""541"" />
<h2><a href=""http://theoilydoc.com/wp-content/uploads/2016/09/Oil_Properties_Wheel_-_DoTERRA.pdf"">Oil_Properties_Wheel_-_DoTERRA PDF</a></h2>",,20160903,post,http://theoilydoc.com/1205-2/,http://theoilydoc.com/wp-content/uploads/2016/09/3b8d8fe4835fc91eab415692fa17bbab.jpg|http://theoilydoc.com/wp-content/uploads/2016/09/1x1-300x300-oil-properties-wheel-doterra-science-us-english-web.jpg,3b8d8fe4835fc91eab415692fa17bbab|1x1-300x300-oil-properties-wheel-doterra-science-us-english-web,|,|,|,http://theoilydoc.com/wp-content/uploads/2016/09/Oil_Properties_Wheel_-_DoTERRA.pdf,"Science Of",,publish,2,1205-2,,,0,0,0,closed,open,20160903
1212,"Tangerine Oil","<img class=""alignnone size-medium wp-image-1214"" src=""http://theoilydoc.com/wp-content/uploads/2016/09/14021595_10154432636639314_7764763821433270257_n-1-300x300.jpg"" alt=""14021595_10154432636639314_7764763821433270257_n-1"" width=""300"" height=""300"" />",,20160903,post,http://theoilydoc.com/tangerine-oil/,http://theoilydoc.com/wp-content/uploads/2016/09/tangerine.png|http://theoilydoc.com/wp-content/uploads/2016/09/55d9015acf8e9_49641b.jpg|http://theoilydoc.com/wp-content/uploads/2016/09/14021595_10154432636639314_7764763821433270257_n-1.jpg|http://theoilydoc.com/wp-content/uploads/2016/09/13962653_10154414250929314_2752617240844111156_n.jpg,tangerine|55d9015acf8e9_49641b|14021595_10154432636639314_7764763821433270257_n-1|13962653_10154414250929314_2752617240844111156_n,|||,|||,|||,,"Science Of>About an Oil",,publish,2,tangerine-oil,,,0,0,0,open,open,20160903
1216,"Dill Oil","<img class=""alignnone size-full wp-image-1210"" src=""http://theoilydoc.com/wp-content/uploads/2016/09/14045877_10154449915974314_8736490691203793528_n.jpg"" alt=""14045877_10154449915974314_8736490691203793528_n"" width=""206"" height=""206"" />",,20160903,post,http://theoilydoc.com/dill-oil/,http://theoilydoc.com/wp-content/uploads/2016/09/8799206408222.jpg,8799206408222,,,,,"Science Of>About an Oil",,publish,2,dill-oil,,,0,0,0,open,open,20160903
1218,"Cumin Oil","<img class=""alignnone size-medium wp-image-1213"" src=""http://theoilydoc.com/wp-content/uploads/2016/09/13962653_10154414250929314_2752617240844111156_n-300x300.jpg"" alt=""13962653_10154414250929314_2752617240844111156_n"" width=""300"" height=""300"" />",,20160903,post,http://theoilydoc.com/cumin-oil/,http://theoilydoc.com/wp-content/uploads/2016/09/8799206375454.jpg,8799206375454,,,,,"Science Of>About an Oil",,publish,2,cumin-oil,,,0,0,0,open,open,20160903
1224,"Dreaming of Paradise","<img class=""alignnone size-medium wp-image-1225"" src=""http://theoilydoc.com/wp-content/uploads/2016/09/954817_10154022004024314_8484826106579083442_n-300x300.jpg"" alt=""954817_10154022004024314_8484826106579083442_n"" width=""300"" height=""300"" />",,20160903,post,http://theoilydoc.com/dreaming-of-paradise/,http://theoilydoc.com/wp-content/uploads/2016/09/954817_10154022004024314_8484826106579083442_n.jpg,954817_10154022004024314_8484826106579083442_n,,,,,Recipes>Aromatic,,publish,2,dreaming-of-paradise,,,0,0,0,closed,open,20160903
1226,"Apple Pie","<img class=""alignnone size-medium wp-image-1227"" src=""http://theoilydoc.com/wp-content/uploads/2016/09/1622232_10154033578849314_4307809853463886640_n-300x300.jpg"" alt=""1622232_10154033578849314_4307809853463886640_n"" width=""300"" height=""300"" />",,20160903,post,http://theoilydoc.com/apple-pie/,http://theoilydoc.com/wp-content/uploads/2016/09/1622232_10154033578849314_4307809853463886640_n.jpg,1622232_10154033578849314_4307809853463886640_n,,,,,Recipes>Aromatic,,publish,2,apple-pie,,,0,0,0,closed,open,20160903
1228,"Citrus Sage","<img class=""alignnone size-medium wp-image-1229"" src=""http://theoilydoc.com/wp-content/uploads/2016/09/12814678_10153998715284314_5500864307057436836_n-300x300.jpg"" alt=""12814678_10153998715284314_5500864307057436836_n"" width=""300"" height=""300"" />",,20160903,post,http://theoilydoc.com/citrus-sage/,http://theoilydoc.com/wp-content/uploads/2016/09/12814678_10153998715284314_5500864307057436836_n.jpg,12814678_10153998715284314_5500864307057436836_n,,,,,Recipes>Aromatic,,publish,2,citrus-sage,,,0,0,0,closed,open,20160903
1230,"Outdoor Wedding","<img class=""alignnone size-medium wp-image-1231"" src=""http://theoilydoc.com/wp-content/uploads/2016/09/12932591_10154100327494314_5520557003371031600_n-300x300.png"" alt=""12932591_10154100327494314_5520557003371031600_n"" width=""300"" height=""300"" />",,20160903,post,http://theoilydoc.com/outdoor-wedding/,http://theoilydoc.com/wp-content/uploads/2016/09/12932591_10154100327494314_5520557003371031600_n.png,12932591_10154100327494314_5520557003371031600_n,,,,,Recipes>Aromatic,,publish,2,outdoor-wedding,,,0,0,0,closed,open,20160903
1232,Pranayama,"<img class=""alignnone size-medium wp-image-1233"" src=""http://theoilydoc.com/wp-content/uploads/2016/09/13087413_10154165669834314_5699607914559591278_n-300x300.jpg"" alt=""13087413_10154165669834314_5699607914559591278_n"" width=""300"" height=""300"" />",,20160903,post,http://theoilydoc.com/pranayama/,http://theoilydoc.com/wp-content/uploads/2016/09/13087413_10154165669834314_5699607914559591278_n.jpg,13087413_10154165669834314_5699607914559591278_n,,,,,Recipes>Aromatic,,publish,2,pranayama,,,0,0,0,closed,open,20160903
1234,"Gorgeous Greens","<img class=""alignnone size-medium wp-image-1235"" src=""http://theoilydoc.com/wp-content/uploads/2016/09/13413502_10154282171274314_8326359547652968610_n-300x300.jpg"" alt=""13413502_10154282171274314_8326359547652968610_n"" width=""300"" height=""300"" />",,20160903,post,http://theoilydoc.com/gorgeous-greens/,http://theoilydoc.com/wp-content/uploads/2016/09/13413502_10154282171274314_8326359547652968610_n.jpg,13413502_10154282171274314_8326359547652968610_n,,,,,Recipes>Aromatic,,publish,2,gorgeous-greens,,,0,0,0,closed,open,20160903
1236,"Citrus Summer Remix","<img class=""alignnone size-medium wp-image-1237"" src=""http://theoilydoc.com/wp-content/uploads/2016/09/13474996_10154302270124314_3047820728661097689_o-300x300.jpg"" alt=""13474996_10154302270124314_3047820728661097689_o"" width=""300"" height=""300"" />",,20160903,post,http://theoilydoc.com/citrus-summer-remix/,http://theoilydoc.com/wp-content/uploads/2016/09/13474996_10154302270124314_3047820728661097689_o.jpg,13474996_10154302270124314_3047820728661097689_o,,,,,Recipes>Aromatic,,publish,2,citrus-summer-remix,,,0,0,0,closed,open,20160903
1246,"September Newsletter","[et_pb_section admin_label=""section""][et_pb_row admin_label=""row""][et_pb_column type=""4_4""][et_pb_text admin_label=""Text"" background_layout=""light"" text_orientation=""left"" background_image=""http://theoilydoc.com/wp-content/uploads/2016/09/leaves-2.gif"" use_border_color=""off"" border_color=""#ffffff"" border_style=""solid""]
<h3>It's a new month, and with that comes a lot of new opportunities, new specials AND .... NEW PRODUCTS!!!!</h3>
<h3>Every year in September, doTERRA has their international convention, where they release new products and provide education for all of their wellness advocates on the latest science and research of essential oils. The doTERRA One convention will be held in Salt Lake City, Utah and will take place from September 14th-17th. Please stay tuned for all of the exciting announcements!</h3>
<img class=""alignnone wp-image-1172"" src=""http://theoilydoc.com/wp-content/uploads/2016/09/one-300x104.png"" alt=""one"" width=""433"" height=""150"" />
<h3>doTERRA also has some really amazing specials and promotions going on this month! The Sweetest Things promotion has been extended through September 15th. When you purchase 160PV worth of products, you receive a FREE Lemon, Lavender and Peppermint oil! The possibility for uses of these three oils are endless!</h3>
<img class=""alignnone wp-image-969"" src=""http://theoilydoc.com/wp-content/uploads/2016/08/14001754_10103720732583898_1670503199_o-300x167.jpg"" alt=""14001754_10103720732583898_1670503199_o"" width=""411"" height=""229"" />
<h3>To find out more about <a href=""http://doterra.com/US/en/p/lemon-oil"">Lemon</a>, <a href=""http://doterra.com/US/en/p/lavender-oil"">Lavender</a>, and <a href=""http://doterra.com/US/en/p/peppermint-oil"">Peppermint</a> oils, please click on each one of the oil names.</h3>
<h3>In addition to these fantastic special, the monthly promotions are exceptional as well!</h3>
<img class=""alignnone wp-image-1165"" src=""http://theoilydoc.com/wp-content/uploads/2016/08/13879436_10154490830359314_148465842447324769_n-300x300.jpg"" alt=""13879436_10154490830359314_148465842447324769_n"" width=""429"" height=""429"" />
<h3>To learn more about the Touch line, please click <a href=""http://doterra.com/US/en/p/collections-doTERRA-touch-kit"">HERE</a></h3>
<h3>To learn more about the benefits of DDR Prime, please click <a href=""http://doterra.com/US/en/p/ddr-prime-softgels"">HERE</a></h3>
<h3>There are also several events that will be taking place this month. Along with our regular monthly education classes, Laura Garcia and I will be hosting a product showcase on September 29th from 6:30 - 8:30 PM at the Kernersville Community House. We will be reviewing all of the new products that doTERRA will be releasing at the 2016 Convention. If yo would like to attend this fantastic event, please RSVP on our Facebook event, located <a href=""https://www.facebook.com/events/327100614290900/"">HERE</a></h3>
<h3>Here is the list of our Monthly Educations Classes, and their locations. If you wish to attend one of the education classes, and you are not already a doTERRA wellness advocate, please use the ""contact me"" link at the bottom of the page to receive additional information via email.</h3>
<img class=""alignnone wp-image-1170"" src=""http://theoilydoc.com/wp-content/uploads/2016/09/14088608_10154452310806624_9175471368782168359_n-300x150.jpg"" alt=""14088608_10154452310806624_9175471368782168359_n"" width=""464"" height=""232"" />
<h3>I always like to close out The Oily Doc newsletter with a featured diffuser blend, and a DIY/Recipe. September is not quite summer, but not quite fall, so I choose a diffuser blend that helps me feel energized as we start to tackle heading back to school.</h3>
<img class=""alignnone wp-image-1247"" src=""http://theoilydoc.com/wp-content/uploads/2016/09/13626558_10154337495254314_5426780858844047193_n-300x300.jpg"" alt=""13626558_10154337495254314_5426780858844047193_n"" width=""392"" height=""392"" />
<h3>Citrus oils are a great way to uplift mood, energize, and invigorate! And they smell delicious!!!!!</h3>
<h3>Playing around in the kitchen with new recipes can always be a tricky business. These scrumptious cookies however, do not disappoint. Who says being health(ier) can’t be fun? Click <strong><a href=""http://doterra.com/US/en/blog/recipe-spearmint-chocolate-chip-cookies"">here</a> </strong>for the recipe!</h3>
<img class=""alignnone wp-image-1248"" src=""http://theoilydoc.com/wp-content/uploads/2016/09/13882609_10154450621639314_1073286763451521749_n-300x300.jpg"" alt=""13882609_10154450621639314_1073286763451521749_n"" width=""407"" height=""407"" />

&nbsp;
<h3>If you aren't already a member of our team, we would LOVE to add you to our Essential Oil family! Please visit our doterra website at <a href=""http://www.mydoterra.com/ths"">http://www.mydoterra.com</a> or feel free to email us at: <a href=""mailto:theoilydoc@gmail.com"">theoilydoc@gmail.com </a></h3>
[/et_pb_text][/et_pb_column][/et_pb_row][/et_pb_section]","September is here. Find out ""whats going on"" by reading The Oily Doc's September Newsletter",20160903,post,http://theoilydoc.com/september-newsletter/,http://theoilydoc.com/wp-content/uploads/2016/09/September-20c1vko.png|http://theoilydoc.com/wp-content/uploads/2016/09/leaves-2.gif|http://theoilydoc.com/wp-content/uploads/2016/09/leaves-1.gif|http://theoilydoc.com/wp-content/uploads/2016/09/leaves.gif|http://theoilydoc.com/wp-content/uploads/2016/09/fall_leaves_faded.jpg|http://theoilydoc.com/wp-content/uploads/2016/09/fall-leaves-pinecone-wallpapers-1024x768.jpg|http://theoilydoc.com/wp-content/uploads/2016/09/13882609_10154450621639314_1073286763451521749_n.jpg|http://theoilydoc.com/wp-content/uploads/2016/09/13626558_10154337495254314_5426780858844047193_n.jpg,September-20c1vko|leaves|leaves|leaves|fall_leaves_faded|fall-leaves-pinecone-wallpapers-1024x768|13882609_10154450621639314_1073286763451521749_n|13626558_10154337495254314_5426780858844047193_n,|||||||,|||||||,|||||||,,Newsletter,,publish,2,september-newsletter,,,0,0,0,open,open,20161003
1259,"Thyme to Uplift","o<img class=""alignnone wp-image-1260"" src=""http://theoilydoc.com/wp-content/uploads/2016/09/13164188_10154197623799314_9211330000362463638_n-300x300.jpg"" alt=""13164188_10154197623799314_9211330000362463638_n"" width=""412"" height=""412"" />
<h3></h3>
<h3>1 drop Thyme, 2 drops Eucalyptus, 3 drops Lime.</h3>",,20160904,post,http://theoilydoc.com/1259-2/,http://theoilydoc.com/wp-content/uploads/2016/09/13164188_10154197623799314_9211330000362463638_n.jpg,13164188_10154197623799314_9211330000362463638_n,,,,,Recipes>Aromatic,,publish,2,1259-2,,,0,0,0,closed,open,20160904
1261,"Sleepy Thyme","<img class=""alignnone  wp-image-1262"" src=""http://theoilydoc.com/wp-content/uploads/2016/09/13239940_10154200043419314_7013161805904110762_n-300x300.jpg"" alt=""13239940_10154200043419314_7013161805904110762_n"" width=""384"" height=""384"" />
<h3></h3>
<h3>1 drop Thyme, 1 drop Marjoram</h3>",,20160904,post,http://theoilydoc.com/sleepy-thyme/,http://theoilydoc.com/wp-content/uploads/2016/09/13239940_10154200043419314_7013161805904110762_n.jpg,13239940_10154200043419314_7013161805904110762_n,,,,,Recipes>Aromatic,,publish,2,sleepy-thyme,,,0,0,0,closed,open,20160904
1263,"Tangermint Soap","<img class=""alignnone  wp-image-1264"" src=""http://theoilydoc.com/wp-content/uploads/2016/09/13895526_10154434408499314_7877642294030775777_n-300x300.jpg"" alt=""13895526_10154434408499314_7877642294030775777_n"" width=""385"" height=""385"" />
<h3>1 drop Spearmint, 1 drop Bergamot, 3 drops Tangerine</h3>",,20160904,post,http://theoilydoc.com/tangermint-soap/,http://theoilydoc.com/wp-content/uploads/2016/09/13895526_10154434408499314_7877642294030775777_n.jpg,13895526_10154434408499314_7877642294030775777_n,,,,,Recipes>Aromatic,,publish,2,tangermint-soap,,,0,0,0,closed,open,20160904
1265,"Harriet Tubman","<img class=""alignnone  wp-image-1266"" src=""http://theoilydoc.com/wp-content/uploads/2016/09/12799402_10153984819444314_992283440132238773_n-300x300.jpg"" alt=""12799402_10153984819444314_992283440132238773_n"" width=""375"" height=""375"" />
<h3>4 drops Balance, 4 drops Passion, 4 drops Citrus Bliss</h3>",,20160904,post,http://theoilydoc.com/harriet-tubman/,http://theoilydoc.com/wp-content/uploads/2016/09/12799402_10153984819444314_992283440132238773_n.jpg,12799402_10153984819444314_992283440132238773_n,,,,,Recipes>Aromatic,,publish,2,harriet-tubman,,,0,0,0,closed,open,20160904
1267,"Summer Cedar","<img class=""alignnone  wp-image-1268"" src=""http://theoilydoc.com/wp-content/uploads/2016/09/13782011_10154395307674314_7468331642193538185_n-300x300.jpg"" alt=""13782011_10154395307674314_7468331642193538185_n"" width=""382"" height=""382"" />
<h3>4 drops White Fir, 1 drop Cilantro, 4 drops Cedarwood</h3>",,20160904,post,http://theoilydoc.com/summer-cedar/,http://theoilydoc.com/wp-content/uploads/2016/09/13782011_10154395307674314_7468331642193538185_n.jpg,13782011_10154395307674314_7468331642193538185_n,,,,,Recipes>Aromatic,,publish,2,summer-cedar,,,0,0,0,closed,open,20160904
